sizeid	brand	region	gender	height	chest	waist	hips	weight	size
-80	patagonia	AA	female	1.5750	0.8050	0.6050	0.8650	49.50	4
-60	patagonia	AA	female	1.6250	0.8250	0.6350	0.8850	52.50	6
-40	patagonia	AA	female	1.6500	0.8550	0.6550	0.9150	54.50	8
-20	patagonia	AA	female	1.7050	0.8550	0.6550	0.9550	59.50	8T
0	patagonia	AA	female	1.6750	0.8850	0.6950	0.9550	59.50	10
20	patagonia	AA	female	1.7250	0.8850	0.6950	0.9900	63.50	10T
40	patagonia	AA	female	1.7250	0.9250	0.7350	0.9900	63.50	12
60	patagonia	AA	female	1.7750	0.9650	0.7750	1.0250	68.50	14
-120	patagonia	AA	male	1.7550	0.9450	0.7650	0.8900	65.50	S
-100	patagonia	AA	male	1.7250	0.9950	0.8000	0.9250	68.50	MS
-80	patagonia	AA	male	1.7800	0.9950	0.8000	0.9250	72.50	M
-60	patagonia	AA	male	1.8800	0.9950	0.8000	0.9250	77.50	MT
-40	patagonia	AA	male	1.7450	1.0450	0.8450	0.9750	77.50	LS
-20	patagonia	AA	male	1.8050	1.0450	0.8450	0.9750	81.50	L
0	patagonia	AA	male	1.9050	1.0450	0.8450	0.9750	86.50	LT
20	patagonia	AA	male	1.7650	1.1000	0.8950	1.0250	86.50	XLS
40	patagonia	AA	male	1.8300	1.1000	0.8950	1.0250	90.50	XL
60	patagonia	AA	male	1.9500	1.1000	0.8950	1.0250	95.50	XLT
80	patagonia	AA	male	1.8550	1.1250	0.9450	1.0750	99.50	XXL
100	patagonia	AA	male	1.9300	1.1800	1.0000	1.1300	109.00	XXL
-140	quiksilver	AA	female	1.7018	0.8890	0.7112	0.8636	59.6250	XS
-120	quiksilver	AA	female	1.7399	0.9398	0.7620	0.8890	65.2500	S
-100	quiksilver	AA	female	1.7780	0.9398	0.7620	0.8890	67.5000	ST
-80	quiksilver	AA	female	1.7399	0.9906	0.8128	0.9144	67.5000	MS
-60	quiksilver	AA	female	1.7780	0.9906	0.8128	0.9144	72.0000	M
-40	quiksilver	AA	female	1.8288	0.9906	0.8128	0.9144	74.2500	MT
-20	quiksilver	AA	female	1.7780	1.0414	0.8636	0.9652	78.7500	LS
0	quiksilver	AA	female	1.8288	1.0414	0.8636	0.9652	81.0000	L
20	quiksilver	AA	female	1.8542	1.0414	0.8636	0.9652	85.5000	LT
40	quiksilver	AA	female	1.8288	1.0922	0.9144	1.0160	87.7500	XLS
60	quiksilver	AA	female	1.8542	1.0922	0.9144	1.0160	90.0000	XL
80	quiksilver	AA	female	1.8796	1.0922	0.9144	1.0160	94.5000	XLT
100	quiksilver	AA	female	1.8796	1.1430	0.9652	1.0668	99.0000	XXL
120	quiksilver	AA	female	1.8796	1.1938	1.0160	1.1430	103.5000	XXXL
-140	quiksilver	AA	male	1.7018	0.8890	0.7112	0.8636	59.6250	XS
-120	quiksilver	AA	male	1.7399	0.9398	0.7620	0.8890	65.2500	S
-100	quiksilver	AA	male	1.7780	0.9398	0.7620	0.8890	67.5000	ST
-80	quiksilver	AA	male	1.7399	0.9906	0.8128	0.9144	67.5000	MS
-60	quiksilver	AA	male	1.7780	0.9906	0.8128	0.9144	72.0000	M
-40	quiksilver	AA	male	1.8288	0.9906	0.8128	0.9144	74.2500	MT
-20	quiksilver	AA	male	1.7780	1.0414	0.8636	0.9652	78.7500	LS
0	quiksilver	AA	male	1.8288	1.0414	0.8636	0.9652	81.0000	L
20	quiksilver	AA	male	1.8542	1.0414	0.8636	0.9652	85.5000	LT
40	quiksilver	AA	male	1.8288	1.0922	0.9144	1.0160	87.7500	XLS
60	quiksilver	AA	male	1.8542	1.0922	0.9144	1.0160	90.0000	XL
80	quiksilver	AA	male	1.8796	1.0922	0.9144	1.0160	94.5000	XLT
100	quiksilver	AA	male	1.8796	1.1430	0.9652	1.0668	99.0000	XXL
120	quiksilver	AA	male	1.8796	1.1938	1.0160	1.1430	103.5000	XXXL
-60	ripcurl	AA	female	1.5500	0.7800	0.6100			4
-40	ripcurl	AA	female	1.6000	0.8200	0.6350			6
-20	ripcurl	AA	female	1.6500	0.8600	0.6600			8
0	ripcurl	AA	female	1.7000	0.9000	0.6850			10
20	ripcurl	AA	female	1.7500	0.9400	0.7100			12
40	ripcurl	AA	female	1.7800	0.9600	0.7350			14
-60	ripcurl	AU	female	1.5500	0.7800	0.6100			4
-40	ripcurl	AU	female	1.6000	0.8200	0.6350			6
-20	ripcurl	AU	female	1.6500	0.8600	0.6600			8
0	ripcurl	AU	female	1.7000	0.9000	0.6850			10
20	ripcurl	AU	female	1.7500	0.9400	0.7100			12
40	ripcurl	AU	female	1.7800	0.9600	0.7350			14
-100	ripcurl	AA	male	1.6900	0.8800	0.7400			XS
-80	ripcurl	AA	male	1.7200	0.9300	0.7800			S
-60	ripcurl	AA	male	1.7200	0.9300	0.7800			MS
-40	ripcurl	AA	male	1.7800	0.9900	0.8100			M
-20	ripcurl	AA	male	1.8300	0.9900	0.8100			MT
0	ripcurl	AA	male	1.7800	1.0300	0.8500			LS
20	ripcurl	AA	male	1.8300	1.0300	0.8500			L
40	ripcurl	AA	male	1.8800	1.0900	0.8900			XL
60	ripcurl	AA	male	1.9200	1.1300	0.9600			XXL
80	ripcurl	AA	male	1.9200	1.1900	0.9600			XXL
-100	ripcurl	AU	male	1.6900	0.8800	0.7400			XS
-80	ripcurl	AU	male	1.7200	0.9300	0.7800			S
-60	ripcurl	AU	male	1.7200	0.9300	0.7800			MS
-40	ripcurl	AU	male	1.7800	0.9900	0.8100			M
-20	ripcurl	AU	male	1.8300	0.9900	0.8100			MT
0	ripcurl	AU	male	1.7800	1.0300	0.8500			LS
20	ripcurl	AU	male	1.8300	1.0300	0.8500			L
40	ripcurl	AU	male	1.8800	1.0900	0.8900			XL
60	ripcurl	AU	male	1.9200	1.1300	0.9600			XXL
80	ripcurl	AU	male	1.9200	1.1900	0.9600			XXL
-60	twoxu	AA	female	1.5200				45.00	XS
-40	twoxu	AA	female	1.5750				52.00	S
-20	twoxu	AA	female	1.6950				53.50	ST
0	twoxu	AA	female	1.6500				60.50	SM
20	twoxu	AA	female	1.6750				68.00	M
40	twoxu	AA	female	1.7250				74.00	L
60	twoxu	AA	female	1.7650				82.00	XL
-120	twoxu	AA	male	1.6400				60.00	XS
-100	twoxu	AA	male	1.6600				66.50	S
-80	twoxu	AA	male	1.7800				68.00	ST
-60	twoxu	AA	male	1.7200				71.50	SM
-40	twoxu	AA	male	1.7700				76.00	M
-20	twoxu	AA	male	1.8550				78.50	MT
0	twoxu	AA	male	1.7000				83.00	MS
20	twoxu	AA	male	1.8150				89.50	L
40	twoxu	AA	male	1.8750				89.00	LT
60	twoxu	AA	male	1.9000				101.00	XL
80	twoxu	AA	male	1.9500				112.50	XXL
100	twoxu	AA	male	1.9500				127.50	XXXL
-140	xcel	AA	female	1.5600	0.8250	0.6200	0.8500	45.50	4/XS
-120	xcel	AA	female	1.6100	0.8600	0.6600	0.8900	50.00	6/S
-100	xcel	AA	female	1.6900	0.8600	0.6600	0.8900	55.50	6/T
-80	xcel	AA	female	1.6000	0.9000	0.7000	0.9300	51.00	8/S
-60	xcel	AA	female	1.6650	0.9000	0.7000	0.9300	55.50	8/M
-40	xcel	AA	female	1.7400	0.9000	0.7000	0.9300	57.50	8/T
-20	xcel	AA	female	1.6400	0.9500	0.7500	0.9800	57.50	10/S
0	xcel	AA	female	1.6900	0.9500	0.7500	0.9800	62.50	10/L
20	xcel	AA	female	1.7900	0.9500	0.7500	0.9800	67.00	10/T
40	xcel	AA	female	1.6650	1.0300	0.8250	1.0550	67.00	12/S
60	xcel	AA	female	1.7150	1.0300	0.8250	1.0550	71.50	12/XL
80	xcel	AA	female	1.6650	1.1200	0.9150	1.1400	72.50	14/S
100	xcel	AA	female	1.7150	1.1200	0.9150	1.1400	77.50	14/2XL
120	xcel	AA	female	1.7400	1.2100	1.0000	1.2300	86.50	16
-200	xcel	AA	male	1.6550	0.9000	0.7350		59.00	XS
-180	xcel	AA	male	1.7050	0.9400	0.7750		64.50	S
-160	xcel	AA	male	1.7900	0.9400	0.7750		69.50	ST
-140	xcel	AA	male	1.7250	0.9650	0.8000		69.50	MS
-120	xcel	AA	male	1.7550	0.9900	0.8250		73.50	M
-100	xcel	AA	male	1.8150	0.9900	0.8250		78.50	MT
-80	xcel	AA	male	1.7050	1.0150	0.8500		73.50	MLS
-60	xcel	AA	male	1.7750	1.0150	0.8500		78.50	ML
-40	xcel	AA	male	1.7250	1.0400	0.8750		83.50	LS
-20	xcel	AA	male	1.8050	1.0400	0.8750		82.50	L
0	xcel	AA	male	1.8800	1.0400	0.8750		87.50	LT
20	xcel	AA	male	1.7550	1.0900	0.9300		82.50	XLS
40	xcel	AA	male	1.8400	1.0900	0.9300		89.50	XL
60	xcel	AA	male	1.9450	1.0900	0.9300		96.50	XLT
80	xcel	AA	male	1.7900	1.1400	0.9800		91.50	2XLS
100	xcel	AA	male	1.8700	1.1400	0.9800		96.50	2XL
120	xcel	AA	male	1.9150	1.2400	1.0800		104.50	3XLS
140	xcel	AA	male	1.9150	1.2400	1.0800		111.00	3XL
160	xcel	AA	male	1.9150	1.3500	1.1800		131.50	4XL
180	xcel	AA	male	1.9150	1.4500	1.2800		140.50	5XL
