sizeid	brand	region	gender	chest	neck	sleeve	torsolength	hips	waist	size
-60	diesel	france	male	0.8636	0.3556				0.7239	40/XS
-40	diesel	france	male	0.9144	0.3747				0.7747	42/S
-20	diesel	france	male	0.9652	0.3967				0.8255	44/M
0	diesel	france	male	1.0160	0.4128				0.8763	46/L
20	diesel	france	male	1.0668	0.4381				0.9271	48/XL
40	diesel	france	male	1.1176	0.4636				0.9779	50/XXL
60	diesel	france	male	1.1684	0.4890				1.0287	52/XXXL
-80	diesel	uk	male	0.8128					0.6858	32/XXS
-60	diesel	uk	male	0.8636	0.3556				0.7239	34/XS
-40	diesel	uk	male	0.9144	0.3747				0.7747	36/S
-20	diesel	uk	male	0.9652	0.3967				0.8255	38/M
0	diesel	uk	male	1.0160	0.4128				0.8763	40/L
20	diesel	uk	male	1.0668	0.4381				0.9271	42/XL
40	diesel	uk	male	1.1176	0.4636				0.9779	44/XXL
60	diesel	uk	male	1.1684	0.4890				1.0287	46/XXXL
-80	dkny	australia	female	0.8128					0.5842	4/XP
-60	dkny	australia	female	0.8382					0.6223	6/P
-40	dkny	australia	female	0.8636					0.6731	8/S
-20	dkny	australia	female	0.8890					0.6985	10/S
0	dkny	australia	female	0.9144					0.7239	12/M
20	dkny	australia	female	0.9398					0.7620	14/M
40	dkny	australia	female	0.9779					0.7874	16/L
60	dkny	australia	female	1.0160					0.8382	18/L
-80	dkny	italy	female	0.8128					0.5842	34/XP
-60	dkny	italy	female	0.8382					0.6223	36/P
-40	dkny	italy	female	0.8636					0.6731	38/S
-20	dkny	italy	female	0.8890					0.6985	40/S
0	dkny	italy	female	0.9144					0.7239	42/M
20	dkny	italy	female	0.9398					0.7620	44/M
40	dkny	italy	female	0.9779					0.7874	46/L
60	dkny	italy	female	1.0160					0.8382	48/L
-80	dkny	us	female	0.8128					0.5842	0/XP
-60	dkny	us	female	0.8382					0.6223	2/P
-40	dkny	us	female	0.8636					0.6731	4/S
-20	dkny	us	female	0.8890					0.6985	6/S
0	dkny	us	female	0.9144					0.7239	8/M
20	dkny	us	female	0.9398					0.7620	10/M
40	dkny	us	female	0.9779					0.7874	12/L
60	dkny	us	female	1.0160					0.8382	14/L
-80	dkny	france	female	0.8128					0.5842	39/XP
-60	dkny	france	female	0.8382					0.6223	32/P
-40	dkny	france	female	0.8636					0.6731	34/S
-20	dkny	france	female	0.8890					0.6985	36/S
0	dkny	france	female	0.9144					0.7239	38/M
20	dkny	france	female	0.9398					0.7620	40/M
40	dkny	france	female	0.9779					0.7874	42/L
60	dkny	france	female	1.0160					0.8382	44/L
-80	dkny	uk	female	0.8128					0.5842	2/XP
-60	dkny	uk	female	0.8382					0.6223	4/P
-40	dkny	uk	female	0.8636					0.6731	6/S
-20	dkny	uk	female	0.8890					0.6985	8/S
0	dkny	uk	female	0.9144					0.7239	10/M
20	dkny	uk	female	0.9398					0.7620	12/M
40	dkny	uk	female	0.9779					0.7874	14/L
60	dkny	uk	female	1.0160					0.8382	16/L
-80	dkny	japan	female	0.8128					0.5842	3/XP
-60	dkny	japan	female	0.8382					0.6223	5/P
-40	dkny	japan	female	0.8636					0.6731	7/S
-20	dkny	japan	female	0.8890					0.6985	9/S
0	dkny	japan	female	0.9144					0.7239	11/M
20	dkny	japan	female	0.9398					0.7620	13/M
40	dkny	japan	female	0.9779					0.7874	15/L
60	dkny	japan	female	1.0160					0.8382	17/L
-40	dkny	australia	male	0.9271	0.3747	0.8509			0.7620	S
-20	dkny	australia	male	0.9906	0.4001	0.8763			0.8255	M
0	dkny	australia	male	1.0668	0.4128	0.9017			0.8890	L
20	dkny	australia	male	1.1430	0.4381	0.9271			0.9652	XL
-40	dkny	italy	male	0.9271	0.3747	0.8509			0.7620	S
-20	dkny	italy	male	0.9906	0.4001	0.8763			0.8255	M
0	dkny	italy	male	1.0668	0.4128	0.9017			0.8890	L
20	dkny	italy	male	1.1430	0.4381	0.9271			0.9652	XL
-40	dkny	us	male	0.9271	0.3747	0.8509			0.7620	S
-20	dkny	us	male	0.9906	0.4001	0.8763			0.8255	M
0	dkny	us	male	1.0668	0.4128	0.9017			0.8890	L
20	dkny	us	male	1.1430	0.4381	0.9271			0.9652	XL
-40	dkny	france	male	0.9271	0.3747	0.8509			0.7620	S
-20	dkny	france	male	0.9906	0.4001	0.8763			0.8255	M
0	dkny	france	male	1.0668	0.4128	0.9017			0.8890	L
20	dkny	france	male	1.1430	0.4381	0.9271			0.9652	XL
-40	dkny	uk	male	0.9271	0.3747	0.8509			0.7620	S
-20	dkny	uk	male	0.9906	0.4001	0.8763			0.8255	M
0	dkny	uk	male	1.0668	0.4128	0.9017			0.8890	L
20	dkny	uk	male	1.1430	0.4381	0.9271			0.9652	XL
-40	dkny	japan	male	0.9271	0.3747	0.8509			0.7620	S
-20	dkny	japan	male	0.9906	0.4001	0.8763			0.8255	M
0	dkny	japan	male	1.0668	0.4128	0.9017			0.8890	L
20	dkny	japan	male	1.1430	0.4381	0.9271			0.9652	XL
-80	dorothyperkins	australia	female	0.8000					0.6200	6/XS
-60	dorothyperkins	australia	female	0.8400					0.6600	8/S
-40	dorothyperkins	australia	female	0.8800					0.7000	10/S
-20	dorothyperkins	australia	female	0.9200					0.7400	12/M
0	dorothyperkins	australia	female	0.9650					0.7900	14/M
20	dorothyperkins	australia	female	1.0200					0.8400	16/L
40	dorothyperkins	australia	female	1.1000					0.9200	18/L
60	dorothyperkins	australia	female	1.1200					1.0000	20/XL
80	dorothyperkins	australia	female	1.1600					1.0800	22/XL
-80	dorothyperkins	italy	female	0.8000					0.6200	38/XS
-60	dorothyperkins	italy	female	0.8400					0.6600	40/S
-40	dorothyperkins	italy	female	0.8800					0.7000	42/S
-20	dorothyperkins	italy	female	0.9200					0.7400	44/M
0	dorothyperkins	italy	female	0.9650					0.7900	46/M
20	dorothyperkins	italy	female	1.0200					0.8400	48/L
40	dorothyperkins	italy	female	1.1000					0.9200	50/L
60	dorothyperkins	italy	female	1.1200					1.0000	52/XL
80	dorothyperkins	italy	female	1.1600					1.0800	54/XL
-80	dorothyperkins	denmark	female	0.8000					0.6200	32/XS
-60	dorothyperkins	denmark	female	0.8400					0.6600	34/S
-40	dorothyperkins	denmark	female	0.8800					0.7000	36/S
-20	dorothyperkins	denmark	female	0.9200					0.7400	38/M
0	dorothyperkins	denmark	female	0.9650					0.7900	40/M
20	dorothyperkins	denmark	female	1.0200					0.8400	42/L
40	dorothyperkins	denmark	female	1.1000					0.9200	44/L
60	dorothyperkins	denmark	female	1.1200					1.0000	46/XL
80	dorothyperkins	denmark	female	1.1600					1.0800	48/XL
-80	dorothyperkins	us	female	0.8000					0.6200	2/XS
-60	dorothyperkins	us	female	0.8400					0.6600	4/S
-40	dorothyperkins	us	female	0.8800					0.7000	6/S
-20	dorothyperkins	us	female	0.9200					0.7400	8/M
0	dorothyperkins	us	female	0.9650					0.7900	10/M
20	dorothyperkins	us	female	1.0200					0.8400	12/L
40	dorothyperkins	us	female	1.1000					0.9200	14/L
60	dorothyperkins	us	female	1.1200					1.0000	16/XL
80	dorothyperkins	us	female	1.1600					1.0800	18/XL
-80	dorothyperkins	france	female	0.8000					0.6200	34/XS
-60	dorothyperkins	france	female	0.8400					0.6600	36/S
-40	dorothyperkins	france	female	0.8800					0.7000	38/S
-20	dorothyperkins	france	female	0.9200					0.7400	40/M
0	dorothyperkins	france	female	0.9650					0.7900	42/M
20	dorothyperkins	france	female	1.0200					0.8400	44/L
40	dorothyperkins	france	female	1.1000					0.9200	46/L
60	dorothyperkins	france	female	1.1200					1.0000	48/XL
80	dorothyperkins	france	female	1.1600					1.0800	50/XL
-80	dorothyperkins	germany	female	0.8000					0.6200	32/XS
-60	dorothyperkins	germany	female	0.8400					0.6600	34/S
-40	dorothyperkins	germany	female	0.8800					0.7000	36/S
-20	dorothyperkins	germany	female	0.9200					0.7400	38/M
0	dorothyperkins	germany	female	0.9650					0.7900	40/M
20	dorothyperkins	germany	female	1.0200					0.8400	42/L
40	dorothyperkins	germany	female	1.1000					0.9200	44/L
60	dorothyperkins	germany	female	1.1200					1.0000	46/XL
80	dorothyperkins	germany	female	1.1600					1.0800	48/XL
-80	dorothyperkins	uk	female	0.8000					0.6200	6/XS
-60	dorothyperkins	uk	female	0.8400					0.6600	8/S
-40	dorothyperkins	uk	female	0.8800					0.7000	10/S
-20	dorothyperkins	uk	female	0.9200					0.7400	12/M
0	dorothyperkins	uk	female	0.9650					0.7900	14/M
20	dorothyperkins	uk	female	1.0200					0.8400	16/L
40	dorothyperkins	uk	female	1.1000					0.9200	18/L
60	dorothyperkins	uk	female	1.1200					1.0000	20/XL
80	dorothyperkins	uk	female	1.1600					1.0800	22/XL
-80	dorothyperkins	spain	female	0.8000					0.6200	34/XS
-60	dorothyperkins	spain	female	0.8400					0.6600	36/S
-40	dorothyperkins	spain	female	0.8800					0.7000	38/S
-20	dorothyperkins	spain	female	0.9200					0.7400	40/M
0	dorothyperkins	spain	female	0.9650					0.7900	42/M
20	dorothyperkins	spain	female	1.0200					0.8400	44/L
40	dorothyperkins	spain	female	1.1000					0.9200	46/L
60	dorothyperkins	spain	female	1.1200					1.0000	48/XL
80	dorothyperkins	spain	female	1.1600					1.0800	50/XL
-60	fennwrightmanson	uk	female	0.8300					0.6350	8
-40	fennwrightmanson	uk	female	0.8800					0.6850	10
-20	fennwrightmanson	uk	female	0.9300					0.7350	12
0	fennwrightmanson	uk	female	0.9800					0.7850	14
20	fennwrightmanson	uk	female	1.0300					0.8350	16
40	fennwrightmanson	uk	female	1.0800					0.8820	18
-80	ff	europe	female	0.7900					0.6200	34/XS
-60	ff	europe	female	0.8100					0.6400	36/S
-40	ff	europe	female	0.8600					0.6900	38/S
-20	ff	europe	female	0.9100					0.7400	40/M
0	ff	europe	female	0.9600					0.7900	42/M
20	ff	europe	female	1.0100					0.8400	44/L
40	ff	europe	female	1.0900					0.9200	46/L
60	ff	europe	female	1.1400					0.9700	48/XL
80	ff	europe	female	1.1900					1.0200	50/XL
-80	ff	australia	female	0.7900					0.6200	4/XS
-60	ff	australia	female	0.8100					0.6400	6/S
-40	ff	australia	female	0.8600					0.6900	8/S
-20	ff	australia	female	0.9100					0.7400	10/M
0	ff	australia	female	0.9600					0.7900	12/M
20	ff	australia	female	1.0100					0.8400	14/L
40	ff	australia	female	1.0900					0.9200	16/L
60	ff	australia	female	1.1400					0.9700	18/XL
80	ff	australia	female	1.1900					1.0200	20/XL
-80	ff	us	female	0.7900					0.6200	2/XS
-60	ff	us	female	0.8100					0.6400	4/S
-40	ff	us	female	0.8600					0.6900	6/S
-20	ff	us	female	0.9100					0.7400	8/M
0	ff	us	female	0.9600					0.7900	10/M
20	ff	us	female	1.0100					0.8400	12/L
40	ff	us	female	1.0900					0.9200	14/L
60	ff	us	female	1.1400					0.9700	16/XL
80	ff	us	female	1.1900					1.0200	18/XL
-80	ff	uk	female	0.7900					0.6200	6/XS
-60	ff	uk	female	0.8100					0.6400	8/S
-40	ff	uk	female	0.8600					0.6900	10/S
-20	ff	uk	female	0.9100					0.7400	12/M
0	ff	uk	female	0.9600					0.7900	14/M
20	ff	uk	female	1.0100					0.8400	16/L
40	ff	uk	female	1.0900					0.9200	18/L
60	ff	uk	female	1.1400					0.9700	20/XL
80	ff	uk	female	1.1900					1.0200	22/XL
-60	ff	uk	male	0.8350						XS
-40	ff	uk	male	0.9150						S
-20	ff	uk	male	0.9950						M
0	ff	uk	male	1.0650						L
20	ff	uk	male	1.1450						XL
40	ff	uk	male	1.2150						XXL
-60	fossil	us	female	0.8382					0.6477	0/XS
-40	fossil	us	female	0.8636					0.6731	2/XS
-20	fossil	us	female	0.8890					0.6985	4/S
0	fossil	us	female	0.9144					0.7239	6/S
20	fossil	us	female	0.9398					0.7493	8/M
40	fossil	us	female	0.9779					0.7874	10/M
60	fossil	us	female	1.0160					0.8255	12/L
-60	fossil	uk	female	0.8382					0.6477	4/XS
-40	fossil	uk	female	0.8636					0.6731	6/XS
-20	fossil	uk	female	0.8890					0.6985	8/S
0	fossil	uk	female	0.9144					0.7239	10/S
20	fossil	uk	female	0.9398					0.7493	12/M
40	fossil	uk	female	0.9779					0.7874	14/M
60	fossil	uk	female	1.0160					0.8255	16/L
-80	fossil	us	male	0.9144				0.9144	0.7112	34/S
-60	fossil	us	male	0.9398				0.9398	0.7366	36/S
-40	fossil	us	male	0.9652				0.9652	0.7620	38/M
-20	fossil	us	male	0.9906				0.9906	0.7874	40/M
0	fossil	us	male	1.0160				1.0160	0.8128	42/L
20	fossil	us	male	1.0541				1.0414	0.8382	44/L
40	fossil	us	male	1.1049				1.0668	0.8636	46/XL
60	fossil	us	male	1.1176				1.1176	0.9144	48/XL
80	fossil	us	male	1.1557				1.1684	0.9652	50/XL
